time	Id(amp:M1)	Id(amp:M2)
Step Information: Temp=-50  (Run: 1/9)
0.000000000000000e+000	-3.278340e-004	3.278317e-004
5.859375484806861e-011	-3.278333e-004	3.278319e-004
2.343750193922745e-010	-3.278345e-004	3.278315e-004
3.750000310276391e-009	-3.278338e-004	3.278317e-004
1.500000124110557e-008	-3.278341e-004	3.278317e-004
3.000000248221113e-008	-3.278382e-004	3.278306e-004
6.000000496442226e-008	-3.278772e-004	3.278113e-004
1.200000099288445e-007	-3.281262e-004	3.276073e-004
2.400000198576890e-007	-3.293860e-004	3.261691e-004
4.800000397153781e-007	-3.350540e-004	3.187750e-004
9.600000794307562e-007	-3.602580e-004	2.908444e-004
1.920000158861512e-006	-4.971484e-004	2.216914e-004
3.840000317723025e-006	-1.228973e-003	1.098861e-004
5.594147436001022e-006	-2.788069e-003	5.729794e-005
7.686692601540084e-006	-5.578839e-003	3.807725e-005
9.891182837399898e-006	-8.411574e-003	3.272905e-005
1.282087033739990e-005	-1.149634e-002	3.072284e-005
1.569217043702106e-005	-1.427935e-002	2.977720e-005
1.862185793702105e-005	-1.708029e-002	2.917750e-005
2.155154543702105e-005	-1.985104e-002	2.877443e-005
2.448123293702105e-005	-2.260481e-002	2.848543e-005
2.741092043702105e-005	-2.534400e-002	2.827026e-005
3.034060793702105e-005	-2.806904e-002	2.810516e-005
3.327029543702105e-005	-3.078023e-002	2.797570e-005
3.619998293702105e-005	-3.347739e-002	2.787205e-005
3.912967043702106e-005	-3.616025e-002	2.778790e-005
4.205935793702106e-005	-3.882825e-002	2.771848e-005
4.498904543702106e-005	-4.148082e-002	2.766070e-005
4.791873293702106e-005	-4.411729e-002	2.761194e-005
5.084842043702107e-005	-4.673693e-002	2.757055e-005
5.670779543702107e-005	-5.192271e-002	2.750428e-005
6.256717043702108e-005	-5.703192e-002	2.745405e-005
7.135623293702108e-005	-6.453817e-002	2.739837e-005
8.014529543702109e-005	-7.183596e-002	2.735782e-005
9.186404543702110e-005	-8.120483e-002	2.731738e-005
1.065124829370211e-004	-9.226508e-002	2.727831e-005
