temperature	V(n005)	V(n006)
1.396999999999977e+002	3.595713e-001	1.844513e-001
1.395999999999976e+002	3.594869e-001	1.847171e-001
1.394999999999976e+002	3.594024e-001	1.849829e-001
1.393999999999976e+002	3.593179e-001	1.852487e-001
1.392999999999976e+002	3.592334e-001	1.855145e-001
1.391999999999975e+002	3.591489e-001	1.857803e-001
1.390999999999975e+002	3.590643e-001	1.860461e-001
1.389999999999975e+002	3.589797e-001	1.863119e-001
1.388999999999975e+002	3.588951e-001	1.865777e-001
1.387999999999975e+002	3.588104e-001	1.868435e-001
1.386999999999974e+002	3.587258e-001	1.871093e-001
1.385999999999974e+002	3.586411e-001	1.873751e-001
1.384999999999974e+002	3.585564e-001	1.876409e-001
1.383999999999974e+002	3.584717e-001	1.879067e-001
1.382999999999973e+002	3.583869e-001	1.881726e-001
1.381999999999973e+002	3.583021e-001	1.884384e-001
1.380999999999973e+002	3.582173e-001	1.887042e-001
1.379999999999973e+002	3.581325e-001	1.889701e-001
1.378999999999973e+002	3.580477e-001	1.892359e-001
1.377999999999972e+002	3.579628e-001	1.895017e-001
1.376999999999972e+002	3.578779e-001	1.897676e-001
1.375999999999972e+002	3.577930e-001	1.900334e-001
1.374999999999972e+002	3.577081e-001	1.902992e-001
1.373999999999971e+002	3.576232e-001	1.905651e-001
1.372999999999971e+002	3.575382e-001	1.908309e-001
1.371999999999971e+002	3.574532e-001	1.910968e-001
1.370999999999971e+002	3.573682e-001	1.913626e-001
1.369999999999970e+002	3.572832e-001	1.916285e-001
1.368999999999970e+002	3.571981e-001	1.918943e-001
1.367999999999970e+002	3.571131e-001	1.921602e-001
1.366999999999970e+002	3.570280e-001	1.924260e-001
1.365999999999970e+002	3.569429e-001	1.926919e-001
1.364999999999969e+002	3.568578e-001	1.929577e-001
1.363999999999969e+002	3.567726e-001	1.932236e-001
1.362999999999969e+002	3.566875e-001	1.934894e-001
1.361999999999969e+002	3.566023e-001	1.937553e-001
1.360999999999968e+002	3.565171e-001	1.940212e-001
1.359999999999968e+002	3.564319e-001	1.942870e-001
1.358999999999968e+002	3.563466e-001	1.945529e-001
1.357999999999968e+002	3.562614e-001	1.948187e-001
1.356999999999968e+002	3.561761e-001	1.950846e-001
1.355999999999967e+002	3.560908e-001	1.953504e-001
1.354999999999967e+002	3.560055e-001	1.956163e-001
